Epoch: 1/500, Train Loss=0.9930127263, Val Loss=0.9929142027
Epoch: 2/500, Train Loss=0.9929032922, Val Loss=0.9929143247
Epoch: 3/500, Train Loss=0.9928436279, Val Loss=0.9928345368
Epoch: 4/500, Train Loss=0.9926878214, Val Loss=0.9927621001
Epoch: 5/500, Train Loss=0.9924275875, Val Loss=0.9926746459
Epoch: 6/500, Train Loss=0.9922735095, Val Loss=0.9925764771
Epoch: 7/500, Train Loss=0.9920402169, Val Loss=0.9924905215
Epoch: 8/500, Train Loss=0.9918033481, Val Loss=0.9923840023
Epoch: 9/500, Train Loss=0.9913069606, Val Loss=0.9921825386
Epoch: 10/500, Train Loss=0.9908469915, Val Loss=0.9911907173
Epoch: 11/500, Train Loss=0.9905696511, Val Loss=0.9917269491
Epoch: 12/500, Train Loss=0.9895300269, Val Loss=0.9913338849
Epoch: 13/500, Train Loss=0.9896391034, Val Loss=0.9905365024
Epoch: 14/500, Train Loss=0.9885208011, Val Loss=0.9901611464
Epoch: 15/500, Train Loss=0.9867628813, Val Loss=0.988340182
Epoch: 16/500, Train Loss=0.9855344296, Val Loss=0.9863935851
Epoch: 17/500, Train Loss=0.9827471375, Val Loss=0.9849317471
Epoch: 18/500, Train Loss=0.9811409712, Val Loss=0.984769753
Epoch: 19/500, Train Loss=0.9789372683, Val Loss=0.9824383713
Epoch: 20/500, Train Loss=0.9732180238, Val Loss=0.9772810624
Epoch: 21/500, Train Loss=0.9659682512, Val Loss=0.9720199562
Epoch: 22/500, Train Loss=0.9561617374, Val Loss=0.961689194
Epoch: 23/500, Train Loss=0.9429040551, Val Loss=0.9543281708
Epoch: 24/500, Train Loss=0.9307676554, Val Loss=0.9420548167
Epoch: 25/500, Train Loss=0.9155777693, Val Loss=0.9183495925
Epoch: 26/500, Train Loss=0.899982214, Val Loss=0.9094758232
Epoch: 27/500, Train Loss=0.8823016286, Val Loss=0.8955551244
Epoch: 28/500, Train Loss=0.8616819382, Val Loss=0.8857094248
Epoch: 29/500, Train Loss=0.8483350277, Val Loss=0.8726944413
Epoch: 30/500, Train Loss=0.8351672888, Val Loss=0.8503849648
Epoch: 31/500, Train Loss=0.8242040873, Val Loss=0.8418879963
Epoch: 32/500, Train Loss=0.8147432208, Val Loss=0.8318805836
Epoch: 33/500, Train Loss=0.7882784009, Val Loss=0.828307254
Epoch: 34/500, Train Loss=0.7634978294, Val Loss=0.8142368226
Epoch: 35/500, Train Loss=0.740961194, Val Loss=0.8048589258
Epoch: 36/500, Train Loss=0.7671047449, Val Loss=0.8263140122
Epoch: 37/500, Train Loss=0.7243989706, Val Loss=0.8171844284
Epoch: 38/500, Train Loss=0.7766362429, Val Loss=0.7862937536
Epoch: 39/500, Train Loss=0.7321549654, Val Loss=0.7838389505
Epoch: 40/500, Train Loss=0.7371460199, Val Loss=0.7929465459
Epoch: 41/500, Train Loss=0.7479313612, Val Loss=0.7872360774
Epoch: 42/500, Train Loss=0.7644845247, Val Loss=0.7700112831
Epoch: 43/500, Train Loss=0.7271416783, Val Loss=0.7593259726
Epoch: 44/500, Train Loss=0.7394782305, Val Loss=0.7552124063
Epoch: 45/500, Train Loss=0.686203301, Val Loss=0.7539626502
Epoch: 46/500, Train Loss=0.7217704058, Val Loss=0.7637462219
Epoch: 47/500, Train Loss=0.7082998753, Val Loss=0.7557836061
Epoch: 48/500, Train Loss=0.6818687916, Val Loss=0.7682649408
Epoch: 49/500, Train Loss=0.6789209843, Val Loss=0.7532887657
Epoch: 50/500, Train Loss=0.709908247, Val Loss=0.738705689
Epoch: 51/500, Train Loss=0.6858444214, Val Loss=0.7389452997
Epoch: 52/500, Train Loss=0.7046272755, Val Loss=0.7365147358
